id,raceId,driverId,constructorId,year,round,circuitId,lat,lng,alt,track_length_km,number_of_turns,grid,driver_age,driver_nationality_code,constructor_nationality_code,q1_ms,q2_ms,q3_ms,best_qual_ms,pit_stop_count,avg_pit_ms,rolling_avg_position,career_wins_so_far,prev_championship_points,prev_championship_position,prev_constructor_points,finishing_position
835_677,835,677,105,1950,3,19,39.76792,-86.22935,223,6.06,14,14,39.6413415468857,0,14,,,,,,,,0.0,0.0,0.0,0.0,20
835_731,835,731,105,1950,3,19,39.76792,-86.22935,223,6.06,14,21,36.95824777549623,0,14,,,,,,,,0.0,0.0,0.0,0.0,25
835_537,835,537,107,1950,3,19,39.76792,-86.22935,223,6.06,14,18,26.39561943874059,0,0,,,,,,,,0.0,0.0,0.0,0.0,32
835_526,835,526,110,1950,3,19,39.76792,-86.22935,223,6.06,14,24,20.21902806297057,0,0,,,,,,,,0.0,0.0,0.0,0.0,15
835_726,835,726,110,1950,3,19,39.76792,-86.22935,223,6.06,14,4,43.7864476386037,0,0,,,,,,,,0.0,0.0,0.0,0.0,8
835_559,835,559,113,1950,3,19,39.76792,-86.22935,223,6.06,14,11,24.39425051334702,0,0,,,,,,,,0.0,0.0,0.0,0.0,10
835_593,835,593,113,1950,3,19,39.76792,-86.22935,223,6.06,14,5,31.904175222450377,0,0,,,,,,,,0.0,0.0,0.0,0.0,1
835_611,835,611,113,1950,3,19,39.76792,-86.22935,223,6.06,14,25,35.879534565366185,0,0,,,,,,,,0.0,0.0,0.0,0.0,30
835_615,835,615,113,1950,3,19,39.76792,-86.22935,223,6.06,14,2,36.772073921971256,0,0,,,,,,,,0.0,0.0,0.0,0.0,28
835_630,835,630,113,1950,3,19,39.76792,-86.22935,223,6.06,14,7,37.13620807665982,0,0,,,,,,,,0.0,0.0,0.0,0.0,33
835_654,835,654,113,1950,3,19,39.76792,-86.22935,223,6.06,14,1,30.28336755646817,0,0,,,,,,,,0.0,0.0,0.0,0.0,7
835_658,835,658,113,1950,3,19,39.76792,-86.22935,223,6.06,14,6,30.64202600958248,0,0,,,,,,,,0.0,0.0,0.0,0.0,14
835_659,835,659,113,1950,3,19,39.76792,-86.22935,223,6.06,14,15,21.3305954825462,0,0,,,,,,,,0.0,0.0,0.0,0.0,21
835_732,835,732,113,1950,3,19,39.76792,-86.22935,223,6.06,14,33,35.331964407939765,0,0,,,,,,,,0.0,0.0,0.0,0.0,18
835_770,835,770,113,1950,3,19,39.76792,-86.22935,223,6.06,14,12,30.663928815879533,0,0,,,,,,,,0.0,0.0,0.0,0.0,4
835_771,835,771,113,1950,3,19,39.76792,-86.22935,223,6.06,14,20,38.41478439425051,0,0,,,,,,,,0.0,0.0,0.0,0.0,19
835_772,835,772,113,1950,3,19,39.76792,-86.22935,223,6.06,14,26,34.70773442847365,0,0,,,,,,,,0.0,0.0,0.0,0.0,13
835_794,835,794,113,1950,3,19,39.76792,-86.22935,223,6.06,14,9,38.12457221081451,0,0,,,,,,,,0.0,0.0,0.0,0.0,5
835_799,835,799,113,1950,3,19,39.76792,-86.22935,223,6.06,14,32,39.84668035592061,0,0,,,,,,,,0.0,0.0,0.0,0.0,29
835_653,835,653,116,1950,3,19,39.76792,-86.22935,223,6.06,14,27,20.80766598220397,0,0,,,,,,,,0.0,0.0,0.0,0.0,17
835_766,835,766,119,1950,3,19,39.76792,-86.22935,223,6.06,14,23,39.72621492128679,0,0,,,,,,,,0.0,0.0,0.0,0.0,6
835_518,835,518,129,1950,3,19,39.76792,-86.22935,223,6.06,14,13,37.06776180698152,0,0,,,,,,,,0.0,0.0,0.0,0.0,12
835_555,835,555,138,1950,3,19,39.76792,-86.22935,223,6.06,14,19,36.1368925393566,0,0,,,,,,,,0.0,0.0,0.0,0.0,9
835_529,835,529,150,1950,3,19,39.76792,-86.22935,223,6.06,14,8,33.711156741957566,0,0,,,,,,,,0.0,0.0,0.0,0.0,31
835_701,835,701,150,1950,3,19,39.76792,-86.22935,223,6.06,14,10,42.4476386036961,0,0,,,,,,,,0.0,0.0,0.0,0.0,2
835_768,835,768,150,1950,3,19,39.76792,-86.22935,223,6.06,14,3,44.01095140314853,0,0,,,,,,,,0.0,0.0,0.0,0.0,3
835_795,835,795,156,1950,3,19,39.76792,-86.22935,223,6.06,14,16,37.94934976043805,0,0,,,,,,,,0.0,0.0,0.0,0.0,11
835_520,835,520,157,1950,3,19,39.76792,-86.22935,223,6.06,14,31,24.33401779603012,0,0,,,,,,,,0.0,0.0,0.0,0.0,16
835_796,835,796,158,1950,3,19,39.76792,-86.22935,223,6.06,14,29,36.45448323066393,0,0,,,,,,,,0.0,0.0,0.0,0.0,22
835_797,835,797,159,1950,3,19,39.76792,-86.22935,223,6.06,14,30,29.73305954825462,0,0,,,,,,,,0.0,0.0,0.0,0.0,23
835_509,835,509,160,1950,3,19,39.76792,-86.22935,223,6.06,14,28,21.869952087611225,0,0,,,,,,,,0.0,0.0,0.0,0.0,24
835_798,835,798,161,1950,3,19,39.76792,-86.22935,223,6.06,14,17,36.28747433264887,0,0,,,,,,,,0.0,0.0,0.0,0.0,27
835_803,835,803,161,1950,3,19,39.76792,-86.22935,223,6.06,14,17,42.32717316906229,0,0,,,,,,,,0.0,0.0,0.0,0.0,27
835_729,835,729,162,1950,3,19,39.76792,-86.22935,223,6.06,14,22,41.23203285420944,0,0,,,,,,,,0.0,0.0,0.0,0.0,26
836_633,836,633,6,1950,4,66,46.97895,7.40174,551,5.6,17,4,41.05133470225873,25,14,,,,,,,8.0,0.0,0.0,18.0,0.0,16
836_647,836,647,6,1950,4,66,46.97895,7.40174,551,5.6,17,5,31.89322381930185,25,14,,,,,,,2.0,0.0,5.9,4.0,0.0,17
836_793,836,793,6,1950,4,66,46.97895,7.40174,551,5.6,17,13,43.75906913073238,19,14,,,,,,,4.0,0.0,3.0,8.0,0.0,15
836_579,836,579,51,1950,4,66,46.97895,7.40174,551,5.6,17,1,38.945927446954144,2,23,,,,,,,6.5,1.0,9.2,2.0,0.0,12
836_642,836,642,51,1950,4,66,46.97895,7.40174,551,5.6,17,2,43.59479808350445,25,23,,,,,,,6.0,1.0,9.0,1.0,0.0,1
836_786,836,786,51,1950,4,66,46.97895,7.40174,551,5.6,17,3,51.983572895277206,25,23,,,,,,,7.0,0.0,5.9,3.0,0.0,2
836_589,836,589,105,1950,4,66,46.97895,7.40174,551,5.6,17,16,50.83367556468173,30,14,,,,,,,10.5,0.0,4.0,5.0,0.0,9
836_640,836,640,105,1950,4,66,46.97895,7.40174,551,5.6,17,11,36.04654346338125,39,14,,,,,,,16.0,0.0,0.0,22.0,0.0,6
836_669,836,669,105,1950,4,66,46.97895,7.40174,551,5.6,17,8,35.88774811772758,40,14,,,,,,,9.5,0.0,2.0,10.0,0.0,4
836_697,836,697,105,1950,4,66,46.97895,7.40174,551,5.6,17,12,46.98699520876112,25,14,,,,,,,,0.0,0.0,0.0,0.0,5
836_780,836,780,105,1950,4,66,46.97895,7.40174,551,5.6,17,17,33.71663244353183,39,14,,,,,,,,0.0,0.0,0.0,0.0,11
836_800,836,800,105,1950,4,66,46.97895,7.40174,551,5.6,17,15,38.64750171115674,25,14,,,,,,,,0.0,0.0,0.0,0.0,7
836_501,836,501,154,1950,4,66,46.97895,7.40174,551,5.6,17,18,28.93086926762492,0,9,,,,,,,19.0,0.0,0.0,28.0,0.0,8
836_627,836,627,154,1950,4,66,46.97895,7.40174,551,5.6,17,10,44.57768651608488,19,9,,,,,,,9.0,0.0,2.0,9.0,0.0,3
836_660,836,660,154,1950,4,66,46.97895,7.40174,551,5.6,17,14,33.81245722108145,7,9,,,,,,,9.0,0.0,0.0,12.0,0.0,10
836_704,836,704,154,1950,4,66,46.97895,7.40174,551,5.6,17,7,45.65366187542779,19,9,,,,,,,4.0,0.0,3.0,4.0,0.0,18
836_741,836,741,154,1950,4,66,46.97895,7.40174,551,5.6,17,6,53.42915811088296,19,9,,,,,,,8.5,0.0,0.0,14.0,0.0,13
836_789,836,789,154,1950,4,66,46.97895,7.40174,551,5.6,17,9,35.19780971937029,19,9,,,,,,,19.0,0.0,0.0,20.0,0.0,14
837_633,837,633,6,1950,5,13,50.60487,5.96973,401,4.05,16,4,41.08966461327858,25,14,,,,,,,12.0,0.0,0.0,48.0,0.0,6
837_647,837,647,6,1950,5,13,50.60487,5.96973,401,4.05,16,7,31.9315537303217,25,14,,,,,,,9.5,0.0,6.1,5.0,0.0,5
837_579,837,579,51,1950,5,13,50.60487,5.96973,401,4.05,16,2,38.98425735797399,2,23,,,,,,,8.333333333333334,1.0,9.2,3.0,0.0,1
837_642,837,642,51,1950,5,13,50.60487,5.96973,401,4.05,16,1,43.6331279945243,25,23,,,,,,,4.333333333333333,2.0,18.3,1.0,0.0,4
837_786,837,786,51,1950,5,13,50.60487,5.96973,401,4.05,16,3,52.02190280629706,25,23,,,,,,,5.333333333333333,0.0,12.3,2.0,0.0,2
837_780,837,780,105,1950,5,13,50.60487,5.96973,401,4.05,16,11,33.75496235455168,39,14,,,,,,,11.0,0.0,0.0,33.0,0.0,10
837_785,837,785,126,1950,5,13,50.60487,5.96973,401,4.05,16,12,29.10335386721424,9,5,,,,,,,16.0,0.0,0.0,17.0,0.0,9
837_627,837,627,154,1950,5,13,50.60487,5.96973,401,4.05,16,8,44.616016427104725,19,9,,,,,,,7.0,0.0,6.0,7.0,0.0,3
837_660,837,660,154,1950,5,13,50.60487,5.96973,401,4.05,16,14,33.8507871321013,7,9,,,,,,,9.333333333333334,0.0,0.0,21.0,0.0,8
837_704,837,704,154,1950,5,13,50.60487,5.96973,401,4.05,16,9,45.69199178644764,19,9,,,,,,,11.0,0.0,3.0,13.0,0.0,14
837_741,837,741,154,1950,5,13,50.60487,5.96973,401,4.05,16,6,53.46748802190281,19,9,,,,,,,10.0,0.0,0.0,25.0,0.0,13
837_773,837,773,154,1950,5,13,50.60487,5.96973,401,4.05,16,10,44.48733744010951,19,9,,,,,,,,0.0,0.0,0.0,0.0,7
837_774,837,774,154,1950,5,13,50.60487,5.96973,401,4.05,16,13,43.18412046543463,19,9,,,,,,,,0.0,0.0,0.0,0.0,11
837_793,837,793,154,1950,5,13,50.60487,5.96973,401,4.05,16,5,43.79739904175222,19,9,,,,,,,9.5,0.0,2.9,12.0,0.0,12
838_687,838,687,6,1950,6,55,49.30242,3.91991,88,4.05,19,18,35.63586584531143,9,14,,,,,,,20.0,0.0,0.0,31.0,0.0,3
838_579,838,579,51,1950,6,55,49.30242,3.91991,88,4.05,19,1,39.02258726899384,2,23,,,,,,,4.666666666666667,2.0,17.1,3.0,0.0,1
838_642,838,642,51,1950,6,55,49.30242,3.91991,88,4.05,19,2,43.67145790554415,25,23,,,,,,,5.333333333333333,2.0,21.5,1.0,0.0,7
838_786,838,786,51,1950,6,55,49.30242,3.91991,88,4.05,19,3,52.06023271731691,25,23,,,,,,,5.333333333333333,0.0,18.2,2.0,0.0,2
838_498,838,498,105,1950,6,55,49.30242,3.91991,88,4.05,19,8,27.73990417522245,2,14,,,,,,,10.0,0.0,0.0,19.0,0.0,18
838_589,838,589,105,1950,6,55,49.30242,3.91991,88,4.05,19,13,50.91033538672142,30,14,,,,,,,10.0,0.0,3.9,9.0,0.0,15
838_686,838,686,105,1950,6,55,49.30242,3.91991,88,4.05,19,11,39.00068446269678,9,14,,,,,,,3.0,0.0,4.0,3.0,0.0,13
838_697,838,697,105,1950,6,55,49.30242,3.91991,88,4.05,19,10,47.06365503080082,25,14,,,,,,,5.0,0.0,2.0,15.0,0.0,10
838_762,838,762,105,1950,6,55,49.30242,3.91991,88,4.05,19,7,42.072553045859,25,14,,,,,,,18.0,0.0,0.0,26.0,0.0,14
838_784,838,784,105,1950,6,55,49.30242,3.91991,88,4.05,19,17,32.506502395619435,9,14,,,,,,,9.0,0.0,0.0,9.0,0.0,16
838_626,838,626,141,1950,6,55,49.30242,3.91991,88,4.05,19,12,33.22108145106092,19,9,,,,,,,14.0,0.0,0.0,21.0,0.0,4
838_627,838,627,154,1950,6,55,49.30242,3.91991,88,4.05,19,6,44.65434633812457,19,9,,,,,,,6.333333333333333,0.0,10.3,4.0,0.0,12
838_660,838,660,154,1950,6,55,49.30242,3.91991,88,4.05,19,14,33.889117043121146,7,9,,,,,,,8.333333333333334,0.0,0.0,22.0,0.0,11
838_704,838,704,154,1950,6,55,49.30242,3.91991,88,4.05,19,5,45.73032169746749,19,9,,,,,,,12.0,0.0,2.9,13.0,0.0,8
838_741,838,741,154,1950,6,55,49.30242,3.91991,88,4.05,19,4,53.50581793292265,19,9,,,,,,,11.666666666666666,0.0,0.0,27.0,0.0,5
838_773,838,773,154,1950,6,55,49.30242,3.91991,88,4.05,19,9,44.52566735112936,19,9,,,,,,,7.0,0.0,0.0,25.0,0.0,9
838_774,838,774,154,1950,6,55,49.30242,3.91991,88,4.05,19,4,43.22245037645448,19,9,,,,,,,11.0,0.0,0.0,52.0,0.0,5
838_793,838,793,154,1950,6,55,49.30242,3.91991,88,4.05,19,16,43.83572895277207,19,9,,,,,,,10.333333333333334,0.0,3.0,12.0,0.0,17
838_801,838,801,154,1950,6,55,49.30242,3.91991,88,4.05,19,15,40.84599589322382,19,9,,,,,,,,0.0,0.0,0.0,0.0,6
839_647,839,647,6,1950,7,14,45.48438,9.2458,162,3.7,14,2,32.14236824093087,25,14,,,,,,,8.0,0.0,8.2,6.0,0.0,17
839_687,839,687,6,1950,7,14,45.48438,9.2458,162,3.7,14,18,35.80835044490075,9,14,,,,,,,11.5,0.0,4.1,11.0,0.0,7
839_791,839,791,6,1950,7,14,45.48438,9.2458,162,3.7,14,25,52.04106776180698,25,14,,,,,,,,0.0,0.0,0.0,0.0,18
839_802,839,802,6,1950,7,14,45.48438,9.2458,162,3.7,14,6,41.1170431211499,25,14,,,,,,,,0.0,0.0,0.0,0.0,2
839_579,839,579,51,1950,7,14,45.48438,9.2458,162,3.7,14,1,39.19507186858316,2,23,,,,,,,4.666666666666667,3.0,26.6,1.0,0.0,15
839_641,839,641,51,1950,7,14,45.48438,9.2458,162,3.7,14,7,43.893223819301845,25,23,,,,,,,,0.0,0.0,0.0,0.0,13
839_642,839,642,51,1950,7,14,45.48438,9.2458,162,3.7,14,3,43.84394250513347,25,23,,,,,,,4.0,2.0,21.7,3.0,0.0,1
839_763,839,763,51,1950,7,14,45.48438,9.2458,162,3.7,14,4,39.43600273785079,25,23,,,,,,,,0.0,0.0,0.0,0.0,23
839_786,839,786,51,1950,7,14,45.48438,9.2458,162,3.7,14,5,52.23271731690623,25,23,,,,,,,2.0,0.0,23.7,2.0,0.0,3
839_589,839,589,105,1950,7,14,45.48438,9.2458,162,3.7,14,19,51.082819986310746,30,14,,,,,,,9.0,0.0,3.9,9.0,0.0,22
839_640,839,640,105,1950,7,14,45.48438,9.2458,162,3.7,14,17,36.29568788501027,39,14,,,,,,,12.666666666666666,0.0,0.0,19.0,0.0,6
839_669,839,669,105,1950,7,14,45.48438,9.2458,162,3.7,14,15,36.1368925393566,40,14,,,,,,,7.666666666666667,0.0,5.0,8.0,0.0,25
839_740,839,740,105,1950,7,14,45.48438,9.2458,162,3.7,14,26,44.11225188227242,25,14,,,,,,,,0.0,0.0,0.0,0.0,20
839_747,839,747,105,1950,7,14,45.48438,9.2458,162,3.7,14,24,40.681724845995895,9,14,,,,,,,15.0,0.0,0.0,16.0,0.0,8
839_756,839,756,105,1950,7,14,45.48438,9.2458,162,3.7,14,27,39.20602327173169,20,14,,,,,,,,0.0,0.0,0.0,0.0,26
839_762,839,762,105,1950,7,14,45.48438,9.2458,162,3.7,14,9,42.24503764544832,25,14,,,,,,,16.0,0.0,0.0,57.0,0.0,12
839_427,839,427,141,1950,7,14,45.48438,9.2458,162,3.7,14,12,32.84325804243669,19,9,,,,,,,16.0,0.0,0.0,25.0,0.0,21
839_626,839,626,141,1950,7,14,45.48438,9.2458,162,3.7,14,10,33.39356605065024,19,9,,,,,,,9.0,0.0,3.0,15.0,0.0,24
839_787,839,787,151,1950,7,14,45.48438,9.2458,162,3.7,14,21,44.16153319644079,9,5,,,,,,,12.0,0.0,0.0,13.0,0.0,9
839_627,839,627,154,1950,7,14,45.48438,9.2458,162,3.7,14,13,44.82683093771389,19,9,,,,,,,6.0,0.0,10.0,4.0,0.0,4
839_660,839,660,154,1950,7,14,45.48438,9.2458,162,3.7,14,22,34.06160164271047,7,9,,,,,,,9.666666666666666,0.0,0.0,27.0,0.0,16
839_741,839,741,154,1950,7,14,45.48438,9.2458,162,3.7,14,16,53.67830253251198,19,9,,,,,,,10.333333333333334,0.0,1.0,18.0,0.0,5
839_764,839,764,154,1950,7,14,45.48438,9.2458,162,3.7,14,11,40.06570841889117,19,9,,,,,,,,0.0,0.0,0.0,0.0,11
839_765,839,765,154,1950,7,14,45.48438,9.2458,162,3.7,14,16,40.60506502395619,19,9,,,,,,,,0.0,0.0,0.0,0.0,19
839_773,839,773,154,1950,7,14,45.48438,9.2458,162,3.7,14,20,44.69815195071869,19,9,,,,,,,8.0,0.0,0.0,28.0,0.0,14
839_793,839,793,154,1950,7,14,45.48438,9.2458,162,3.7,14,8,44.0082135523614,19,9,,,,,,,14.666666666666666,0.0,3.0,14.0,0.0,10
839_697,839,697,163,1950,7,14,45.48438,9.2458,162,3.7,14,23,47.23613963039014,25,14,,,,,,,7.5,0.0,2.0,17.0,0.0,27
825_633,825,633,6,1951,1,66,46.97895,7.40174,551,5.6,17,3,42.02874743326489,25,14,,,,,,,10.0,0.0,0.0,19.0,0.0,19
825_641,825,641,6,1951,1,66,46.97895,7.40174,551,5.6,17,6,44.62149212867899,25,14,,,,,,,13.0,0.0,0.0,61.0,0.0,2
825_647,825,647,6,1951,1,66,46.97895,7.40174,551,5.6,17,7,32.87063655030801,25,14,,,,,,,13.0,0.0,11.1,5.0,0.0,6
825_687,825,687,6,1951,1,66,46.97895,7.40174,551,5.6,17,9,36.53661875427789,9,14,,,,,,,10.0,0.0,4.0,9.0,0.0,15
825_723,825,723,6,1951,1,66,46.97895,7.40174,551,5.6,17,10,39.10198494182067,39,14,,,,,,,,0.0,0.0,0.0,0.0,11
825_579,825,579,51,1951,1,66,46.97895,7.40174,551,5.6,17,1,39.9233401779603,2,23,,,,,,,5.666666666666667,3.0,26.4,2.0,0.0,1
825_640,825,640,51,1951,1,66,46.97895,7.40174,551,5.6,17,5,37.02395619438741,39,23,,,,,,,9.0,0.0,0.0,23.0,0.0,5
825_642,825,642,51,1951,1,66,46.97895,7.40174,551,5.6,17,2,44.57221081451061,25,23,,,,,,,4.0,3.0,30.5,1.0,0.0,3
825_763,825,763,51,1951,1,66,46.97895,7.40174,551,5.6,17,4,40.16427104722793,25,23,,,,,,,23.0,0.0,0.0,71.0,0.0,4
825_501,825,501,105,1951,1,66,46.97895,7.40174,551,5.6,17,17,29.908281998631075,0,14,,,,,,,13.5,0.0,0.0,26.0,0.0,12
825_589,825,589,105,1951,1,66,46.97895,7.40174,551,5.6,17,19,51.81108829568789,30,14,,,,,,,15.333333333333334,0.0,4.1,10.0,0.0,7
825_475,825,475,133,1951,1,66,46.97895,7.40174,551,5.6,17,14,21.689253935660503,9,5,,,,,,,,0.0,0.0,0.0,0.0,8
825_725,825,725,133,1951,1,66,46.97895,7.40174,551,5.6,17,20,38.182067077344286,9,5,,,,,,,,0.0,0.0,0.0,0.0,17
825_721,825,721,144,1951,1,66,46.97895,7.40174,551,5.6,17,16,41.15811088295688,39,10,,,,,,,,0.0,0.0,0.0,0.0,21
825_498,825,498,154,1951,1,66,46.97895,7.40174,551,5.6,17,13,28.64065708418892,2,9,,,,,,,14.0,0.0,0.0,55.0,0.0,20
825_627,825,627,154,1951,1,66,46.97895,7.40174,551,5.6,17,8,45.55509924709104,19,9,,,,,,,6.333333333333333,0.0,13.0,4.0,0.0,9
825_660,825,660,154,1951,1,66,46.97895,7.40174,551,5.6,17,18,34.789869952087614,7,9,,,,,,,11.666666666666666,0.0,0.0,28.0,0.0,13
825_704,825,704,154,1951,1,66,46.97895,7.40174,551,5.6,17,15,46.63107460643395,19,9,,,,,,,13.333333333333334,0.0,3.0,13.0,0.0,18
825_741,825,741,154,1951,1,66,46.97895,7.40174,551,5.6,17,12,54.40657084188912,19,9,,,,,,,7.666666666666667,0.0,3.0,18.0,0.0,10
825_764,825,764,154,1951,1,66,46.97895,7.40174,551,5.6,17,21,40.79397672826831,19,9,,,,,,,11.0,0.0,0.0,58.0,0.0,14
825_765,825,765,154,1951,1,66,46.97895,7.40174,551,5.6,17,11,41.333333333333336,19,9,,,,,,,19.0,0.0,0.0,65.0,0.0,16
826_732,826,732,105,1951,2,19,39.76792,-86.22935,223,6.06,14,26,36.33127994524298,0,14,,,,,,,18.0,0.0,0.0,36.0,0.0,32
